id,DATE,avg_AirTemp
985,11-Sep-20,29.3
986,12-Sep-20,29.1
987,13-Sep-20,29.4
988,14-Sep-20,28.75
989,15-Sep-20,30.8
990,16-Sep-20,29.75
991,17-Sep-20,29.9
992,18-Sep-20,29.5
993,19-Sep-20,29.45
994,20-Sep-20,30.1
995,21-Sep-20,29.85
996,22-Sep-20,30.2
997,23-Sep-20,30.25
998,24-Sep-20,30
999,25-Sep-20,29.6
1000,26-Sep-20,29.85
1001,27-Sep-20,29.8
1002,28-Sep-20,29.85
1003,29-Sep-20,29.2
1004,30-Sep-20,29
1005,1-Oct-20,29.4
1006,2-Oct-20,29.75
1007,3-Oct-20,29.5
1008,4-Oct-20,30.3
1009,5-Oct-20,30.65
1010,6-Oct-20,30.6
1011,7-Oct-20,30.35
1012,8-Oct-20,30.1
1013,9-Oct-20,29.3
